id,preferred_name,alternative_names,category,description
http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,hydrogenation,hydrogenation machine|hydrogenation machine operator|machine|machine operator|machine operator hydrogenation,general,
http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,pasta,pasta operator|pasta operator pasta|operator|operator pasta|operator pasta products,technical,"They unload raw ingredients from storage silos and ingredient delivery systems.  These operators mix, press, extrude as to reach desired drying levels of pasta."
http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,tobacco,tobacco shop|tobacco shop manager|shop|shop manager|shop manager smokers,general,
http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,rental,rental service|rental service representative|service|service representative|service representative in,general,"They document transactions, insurances and payments."
http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,mine,mine surveyor|mine surveyor mining|surveyor|surveyor mining|surveyor mining surveyor,general,They keep records of the physical progress of mining operations and of ore or mineral production.
http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,food,food safety|food safety specialist|safety|safety specialist|safety specialist food,general,They comply with regulations.
http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,land-based,land-based machinery|land-based machinery technician|machinery|machinery technician|machinery technician land-based,general,
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus,bus driver|bus driver intercity|driver|driver intercity|driver intercity bus,general,
http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,import,import export|import export manager|export|export manager|export manager in,general,
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing,housing policy|housing policy officer|policy|policy officer|policy officer housing,general,"They implement these policies to improve the housing situation of the population by measures such as building affordable housing, supporting people to buy real estate and improving conditions in existing housing.  Housing policy officers work closely with partners, external organisations or other stakeholders and provide them with regular updates."
